"UniversityNorm","CanonicalUniversity","VariantsCount","TotalRows","Variants"
"incheon national university university of incheon","Incheon National University (University of Incheon)","1","1","Incheon National University (University of Incheon):1"
"scuola normale superiore di pisa","Scuola Normale Superiore di Pisa","1","1","Scuola Normale Superiore di Pisa:1"
"indian agricultural research institute","Indian Agricultural Research Institute","1","1","Indian Agricultural Research Institute:1"
"sciences po institut detudes politiques de paris alliance sorbonne paris cite","Sciences Po Institut dEtudes Politiques de Paris (Alliance Sorbonne Paris Cite)","1","1","Sciences Po Institut dEtudes Politiques de Paris (Alliance Sorbonne Paris Cite):1"
"scripps college","Scripps College","1","1","Scripps College:1"
"scottish association for marine science","Scottish Association for Marine Science","1","1","Scottish Association for Marine Science:1"
"sam houston state university","Sam Houston State University","1","1","Sam Houston State University:1"
"salisbury university","Salisbury University","1","1","Salisbury University:1"
"samara state technical university","Samara State Technical University","1","1","Samara State Technical University:1"
"samara national research university","Samara National Research University","1","1","Samara National Research University:1"
"sakarya university","Sakarya University","1","1","Sakarya University:1"
"indian institute of science education and research thiruvananthapuram","Indian Institute of Science Education and Research Thiruvananthapuram","1","1","Indian Institute of Science Education and Research Thiruvananthapuram:1"
"saint petersburg state electrotechnical university","Saint Petersburg State Electrotechnical University","1","1","Saint Petersburg State Electrotechnical University:1"
"saitama university","Saitama University","1","1","Saitama University:1"
"saitama medical university","Saitama Medical University","1","1","Saitama Medical University:1"
"indian institute of science bangalore","Indian Institute of Science Bangalore","1","1","Indian Institute of Science Bangalore:1"
"sang myung university","Sang Myung University","1","1","Sang Myung University:1"
"indian institute of information technology allahabad","Indian Institute of Information Technology Allahabad","1","1","Indian Institute of Information Technology Allahabad:1"
"santa fe institute","Santa Fe Institute","1","1","Santa Fe Institute:1"
"indian institute of science education and research bhopal","Indian Institute of Science Education and Research Bhopal","1","1","Indian Institute of Science Education and Research Bhopal:1"
"samuel merritt university","Samuel Merritt University","1","1","Samuel Merritt University:1"
"indian institute of science education and research pune","Indian Institute of Science Education and Research Pune","1","1","Indian Institute of Science Education and Research Pune:1"
"indian institute of science education and research kolkata","Indian Institute of Science Education and Research Kolkata","1","1","Indian Institute of Science Education and Research Kolkata:1"
"indian institute of science education and research mohali","Indian Institute of Science Education and Research Mohali","1","1","Indian Institute of Science Education and Research Mohali:1"
"ibaraki university","Ibaraki University","1","1","Ibaraki University:1"
"hochschule luzern","Hochschule Luzern","1","1","Hochschule Luzern:1"
"sun yat sen university zhongshan university","Sun Yat Sen University (Zhongshan University)","1","1","Sun Yat Sen University (Zhongshan University):1"
"sungkyunkwan university gsb","Sungkyunkwan University GSB","1","1","Sungkyunkwan University GSB:1"
"hochschule furtwangen","Hochschule Furtwangen","1","1","Hochschule Furtwangen:1"
"sumy state university","Sumy State University","1","1","Sumy State University:1"
"suffolk university","Suffolk University","1","1","Suffolk University:1"
"suez canal university","Suez Canal University","1","1","Suez Canal University:1"
"hochschule munchen","Hochschule Munchen","1","1","Hochschule Munchen:1"
"suleyman demirel university turkey","Suleyman Demirel University Turkey","1","1","Suleyman Demirel University Turkey:1"
"suranaree university of technology","Suranaree University of Technology","1","1","Suranaree University of Technology:1"
"suny downstate medical center","SUNY Downstate Medical Center","1","1","SUNY Downstate Medical Center:1"
"hochschule darmstadt","Hochschule Darmstadt","1","1","Hochschule Darmstadt:1"
"suzhou university of science and technology","Suzhou University of Science & Technology","1","1","Suzhou University of Science & Technology:1"
"hochschule fur angewandte wissenschaften hamburg","Hochschule fur Angewandte Wissenschaften Hamburg","1","1","Hochschule fur Angewandte Wissenschaften Hamburg:1"
"hochschule fur technik und wirtschaft berlin","Hochschule fur Technik und Wirtschaft Berlin","1","1","Hochschule fur Technik und Wirtschaft Berlin:1"
"hochschule fur wirtschaft und recht berlin","Hochschule fur Wirtschaft und Recht Berlin","1","1","Hochschule fur Wirtschaft und Recht Berlin:1"
"suny at stony brook","SUNY at Stony Brook","1","1","SUNY at Stony Brook:1"
"suny at binghamton","SUNY at Binghamton","1","1","SUNY at Binghamton:1"
"hogeschool van arnhem en nijmegen han","Hogeschool van Arnhem en Nijmegen HAN","1","1","Hogeschool van Arnhem en Nijmegen HAN:1"
"state university of new york upstate medical university","State University of New York Upstate Medical University","1","1","State University of New York Upstate Medical University:1"
"hogeschool van amsterdam hva","Hogeschool van Amsterdam HvA","1","1","Hogeschool van Amsterdam HvA:1"
"stephen f austin state university","Stephen F Austin State University","1","1","Stephen F Austin State University:1"
"state university of new york downstate medical center brooklyn","State University of New York Downstate Medical Center Brooklyn","1","1","State University of New York Downstate Medical Center Brooklyn:1"
"hohai university","Hohai University","1","1","Hohai University:1"
"hongik university","Hongik University","1","1","Hongik University:1"
"state university of new york college of environmental science and forestry","State University of New York College of Environmental Science and Forestry","1","1","State University of New York College of Environmental Science and Forestry:1"
"state university of new york at oswego","State University of New York at Oswego","1","1","State University of New York at Oswego:1"
"hochschule osnabruck","Hochschule Osnabruck","1","1","Hochschule Osnabruck:1"
"stony brook medicine","Stony Brook Medicine","1","1","Stony Brook Medicine:1"
"sudan university of science and technology","Sudan University of Science & Technology","1","1","Sudan University of Science & Technology:1"
"suan sunandha rajabhat university","Suan Sunandha Rajabhat University","1","1","Suan Sunandha Rajabhat University:1"
"stonehill college","Stonehill College","1","1","Stonehill College:1"
"stiftung tierarztliche hochschule hannover","Stiftung Tierarztliche Hochschule Hannover","1","1","Stiftung Tierarztliche Hochschule Hannover:1"
"hogeschool utrecht hogeschool domstad","Hogeschool Utrecht (Hogeschool Domstad)","1","1","Hogeschool Utrecht (Hogeschool Domstad):1"
"hogeschool saxion","Hogeschool Saxion","1","1","Hogeschool Saxion:1"
"stockholm school of economics","Stockholm School of Economics","1","1","Stockholm School of Economics:1"
"hobart and william smith colleges","Hobart and William Smith Colleges","1","1","Hobart and William Smith Colleges:1"
"henan university","Henan University","1","1","Henan University:1"
"tarleton state university","Tarleton State University","1","1","Tarleton State University:1"
"tata institute of fundamental research","Tata Institute of Fundamental Research","1","1","Tata Institute of Fundamental Research:1"
"henan polytechnic university","Henan Polytechnic University","1","1","Henan Polytechnic University:1"
"tarbiat modares university","Tarbiat Modares University","1","1","Tarbiat Modares University:1"
"tampere university tut uot","Tampere University (TUT+UoT)","1","1","Tampere University (TUT+UoT):1"
"henan university of technology","Henan University of Technology","1","1","Henan University of Technology:1"
"henan university of science and technology","Henan University of Science & Technology","1","1","Henan University of Science & Technology:1"
"tanta university","Tanta University","1","1","Tanta University:1"
"technical university of czestochowa","Technical University of Czestochowa","1","1","Technical University of Czestochowa:1"
"technical university of crete","Technical University of Crete","1","1","Technical University of Crete:1"
"henan institute of science and technology","Henan Institute of Science and Technology","1","1","Henan Institute of Science and Technology:1"
"technical university of darmstadt","Technical University of Darmstadt","1","1","Technical University of Darmstadt:1"
"technical university in zvolen","Technical University in Zvolen","1","1","Technical University in Zvolen:1"
"taylor university","Taylor University","1","1","Taylor University:1"
"tata institute of social sciences","Tata Institute of Social Sciences","1","1","Tata Institute of Social Sciences:1"
